Date,Open,High,Low,Close,Adj Close,Volume
2015/04/16,3045.85,3183.58,3033.25,3183.30,171967554,237185826816.00
2015/04/17,3251.98,3271.57,3216.21,3235.33,207659934,285355311104.00
2015/04/20,3267.85,3296.18,3146.84,3164.46,265976127,396545654784.00
2015/04/21,3163.29,3214.89,3135.22,3214.36,184427692,269227098112.00
2015/04/22,3219.70,3300.84,3204.44,3299.22,201738071,330229055488.00
2015/04/23,3311.07,3313.81,3245.76,3273.40,177137931,293820858368.00
2015/04/24,3226.38,3250.23,3161.97,3223.96,185135936,297582755840.00
2015/04/27,3257.97,3313.25,3257.97,3308.45,200266975,308262699008.00
2015/04/28,3309.53,3370.03,3255.77,3282.33,266042859,373574205440.00
2015/04/29,3268.52,3304.71,3243.54,3283.28,146666285,228829609984.00
2015/04/30,3290.58,3309.42,3249.25,3250.49,146288279,230961430528.00
2015/05/04,3250.12,3273.15,3204.31,3272.00,133270953,207062515712.00
2015/05/05,3266.81,3270.96,3132.94,3148.81,170607781,260105797632.00
2015/05/06,3175.89,3244.60,3110.11,3139.02,147991138,255658442752.00
2015/05/07,3116.79,3142.14,3093.73,3094.88,109440929,163519856640.00
2015/05/08,3126.00,3138.66,3045.01,3110.45,103278165,152427970560.00
2015/05/11,3112.24,3169.87,3075.20,3169.13,133766659,194746892288.00
2015/05/12,3162.67,3200.18,3136.46,3188.31,130813054,199503822848.00
2015/05/13,3188.06,3188.96,3122.34,3141.30,117305504,174969585664.00
2015/05/14,3136.13,3153.75,3107.68,3128.57,105338706,153091932160.00
2015/05/15,3122.89,3124.61,3044.85,3060.41,109993195,161060864000.00
2015/05/18,3032.71,3045.59,2997.13,2998.39,87041724,130095423488.00
2015/05/19,2996.84,3127.00,2996.72,3116.09,111206627,177662164992.00
2015/05/20,3127.57,3181.54,3105.63,3122.85,124557332,193487503360.00
2015/05/21,3132.34,3156.49,3111.00,3150.90,94755784,147586629632.00
2015/05/22,3180.39,3249.52,3170.45,3248.86,150021104,231552876544.00
2015/05/25,3263.96,3350.52,3263.96,3349.95,158585710,252774285312.00
2015/05/26,3382.76,3390.29,3320.15,3386.59,147894684,246793748480.00
2015/05/27,3390.98,3404.76,3327.24,3344.74,147470539,243480838144.00
2015/05/28,3336.70,3350.22,3120.97,3124.62,178255206,269774192640.00
2015/05/29,3127.64,3161.58,3036.96,3111.33,133784404,198756335616.00
2015/06/01,3114.79,3250.60,3082.16,3244.32,141023373,208883531776.00
2015/06/02,3240.80,3269.22,3201.22,3258.31,134800533,192594411520.00
2015/06/03,3251.91,3259.71,3193.54,3238.43,128306977,190395613184.00
2015/06/04,3244.46,3316.50,3113.22,3299.03,184567939,254373134336.00
2015/06/05,3349.57,3365.59,3234.25,3303.99,188145648,270740078592.00
2015/06/08,3333.83,3469.22,3308.30,3458.71,248254042,350471159808.00
2015/06/09,3494.82,3494.82,3376.02,3414.00,220448561,340397064192.00
2015/06/10,3362.81,3415.28,3338.68,3370.38,155294691,246677078016.00
2015/06/11,3369.00,3383.49,3313.59,3347.12,138073848,226193702912.00
2015/06/12,3364.44,3374.81,3319.20,3350.25,145262255,225464238080.00
2015/06/15,3359.71,3366.84,3254.62,3262.48,167322559,249139888128.00
2015/06/16,3233.15,3275.47,3149.08,3179.65,155969898,215445602304.00
2015/06/17,3198.14,3222.44,3144.49,3211.71,159571563,207598403584.00
2015/06/18,3183.23,3183.23,3067.48,3068.49,137345042,182753378304.00
2015/06/19,3030.22,3067.82,2900.79,2903.06,131783924,175635857408.00
2015/06/23,2907.07,3007.63,2822.47,3003.16,135617644,181578416128.00
2015/06/24,3009.77,3052.11,2962.65,3045.24,141585882,192146964480.00
2015/06/25,3069.40,3082.56,2929.11,2943.99,160158307,220485926912.00
2015/06/26,2875.12,2953.96,2678.77,2736.70,183355804,239246442496.00
2015/06/29,2802.77,2822.11,2530.83,2678.37,212018714,268112920576.00
2015/06/30,2678.63,2872.51,2628.00,2870.03,219592298,275002228736.00
2015/07/01,2823.94,2872.91,2721.48,2736.85,169957702,218026246144.00
2015/07/02,2767.99,2805.67,2611.86,2714.25,209045754,245275787264.00
2015/07/03,2674.56,2738.66,2511.16,2582.27,184361918,212838563840.00
2015/07/06,2807.75,2807.75,2649.56,2750.00,344834279,383917326336.00
2015/07/07,2682.50,2825.49,2612.11,2812.45,350314798,428297519104.00
2015/07/08,2596.71,2760.52,2546.46,2608.98,377459400,407199219712.00
2015/07/09,2575.34,2828.75,2493.64,2781.08,271176770,304601923584.00
2015/07/10,2749.12,2997.60,2717.71,2898.41,296251842,361175449600.00
2015/07/13,2855.70,2949.20,2805.91,2869.05,233341055,289573732352.00
2015/07/14,2821.97,2843.25,2717.03,2763.07,194368424,234177773568.00
2015/07/15,2725.92,2779.95,2665.95,2757.95,185948028,211874742272.00
2015/07/16,2754.83,2780.00,2708.72,2742.85,135246163,151401562112.00
2015/07/17,2756.87,2834.18,2723.74,2807.06,130241112,160825180160.00
2015/07/20,2798.56,2815.70,2766.94,2783.76,130862495,166660030464.00
2015/07/21,2757.66,2799.82,2743.15,2772.77,115826578,152027267072.00
2015/07/22,2757.28,2771.00,2721.35,2739.79,106654530,140089835520.00
2015/07/23,2741.42,2796.37,2736.38,2790.76,113582039,151861837824.00
2015/07/24,2794.05,2807.62,2735.30,2741.04,123928908,163019751424.00
2015/07/27,2698.80,2715.36,2491.12,2493.29,136645104,158951325696.00
2015/07/28,2427.03,2531.23,2400.87,2485.67,140338855,164763025408.00
2015/07/29,2496.90,2535.60,2459.08,2531.44,93078154,112668844032.00
2015/07/30,2525.08,2548.27,2459.92,2467.37,86949827,108522364928.00
2015/07/31,2452.05,2490.66,2432.49,2461.24,74725374,88953036800.00
2015/08/03,2433.24,2479.95,2419.85,2479.72,88073410,96775634944.00
2015/08/04,2476.16,2535.28,2462.73,2534.71,66032317,79544147968.00
2015/08/05,2529.13,2537.35,2485.60,2487.06,62889670,79648358400.00
2015/08/06,2452.53,2505.53,2446.96,2467.52,47800047,60255514624.00
2015/08/07,2489.81,2520.04,2479.25,2503.80,57563239,73033097216.00
2015/08/10,2527.62,2626.36,2517.95,2617.66,109626613,135665860608.00
2015/08/11,2612.95,2623.84,2578.65,2590.71,99584256,126415896576.00
2015/08/12,2562.68,2598.51,2557.26,2561.13,75352530,103960469504.00
2015/08/13,2562.87,2585.92,2522.35,2580.78,70080742,92171460608.00
2015/08/14,2588.43,2592.17,2565.59,2577.04,72941572,98274811904.00
2015/08/17,2560.37,2561.96,2524.13,2550.47,71133819,91571511296.00
2015/08/18,2554.08,2572.21,2405.83,2407.97,101248713,125516447744.00
2015/08/19,2379.21,2431.61,2326.24,2430.28,90485319,100388487168.00
2015/08/20,2406.57,2421.03,2356.33,2356.92,68346853,74859839488.00
2015/08/21,2336.45,2362.84,2261.31,2271.36,78467553,85908971520.00
2015/08/24,2195.46,2203.63,2046.84,2058.25,115420383,111341101056.00
2015/08/25,1947.14,2044.56,1890.38,1914.05,118569577,109950394368.00
2015/08/26,1930.20,2028.40,1874.22,1942.45,124111796,113224245248.00
2015/08/27,1989.59,2095.46,1957.74,2094.72,116585470,112381616128.00
2015/08/28,2120.36,2167.90,2097.78,2159.96,115299860,117095079936.00
2015/08/31,2135.60,2214.11,2071.41,2210.45,117193052,122180280320.00
2015/09/01,2155.96,2239.46,2103.48,2230.32,158310344,147365363712.00
2015/09/02,2143.24,2248.77,2137.19,2243.63,166061448,148869496832.00
2015/09/07,2215.18,2247.44,2127.48,2133.98,85672057,82337816576.00
2015/09/08,2115.90,2185.40,2084.03,2180.13,61980414,61093085184.00
2015/09/09,2186.37,2225.27,2175.77,2211.20,76962973,81846247424.00
2015/09/10,2183.61,2218.14,2175.37,2208.48,53035319,57056317440.00
2015/09/11,2199.58,2218.82,2180.23,2195.39,36221969,39906029568.00
2015/09/14,2205.71,2228.96,2126.29,2228.15,84785358,92470910976.00
2015/09/15,2179.24,2188.36,2142.02,2175.17,55484328,54339604480.00
2015/09/16,2161.01,2277.58,2142.20,2241.95,56026548,57555615744.00
2015/09/17,2223.40,2260.85,2194.03,2194.82,55842887,60336914432.00
2015/09/18,2204.58,2226.75,2192.27,2198.99,36074301,37835419648.00
2015/09/21,2185.08,2220.02,2176.66,2214.45,36901513,40143069184.00
2015/09/22,2217.78,2259.07,2210.49,2237.31,42563767,48474976256.00
2015/09/23,2208.25,2219.24,2174.92,2178.55,34234548,37515857920.00
2015/09/24,2190.31,2198.49,2170.68,2188.09,25074852,28435040256.00
2015/09/25,2180.29,2191.36,2150.02,2183.40,35992010,36738195456.00
2015/09/28,2169.15,2175.97,2145.75,2169.94,20268618,20171335680.00
2015/09/29,2139.80,2145.99,2114.30,2127.20,25482560,25518108672.00
2015/09/30,2138.15,2161.71,2133.88,2146.12,25026925,27561758720.00
2015/10/08,2231.02,2231.24,2189.99,2191.34,39255630,45316636672.00
2015/10/09,2202.13,2226.42,2195.16,2219.29,33135222,34896510976.00
2015/10/12,2223.33,2308.19,2220.63,2283.43,62354545,67779919872.00
2015/10/13,2268.76,2282.04,2259.27,2270.95,36904537,39806828544.00
2015/10/14,2263.59,2284.62,2252.38,2253.91,41961463,43702042624.00
2015/10/15,2254.40,2297.96,2252.33,2297.90,46942189,51270529024.00
2015/10/16,2310.35,2328.30,2301.49,2323.78,60168475,68286763008.00
2015/10/19,2329.40,2346.35,2303.17,2318.47,53225380,62261182464.00
2015/10/20,2312.53,2337.80,2297.75,2337.08,46698905,53385977856.00
2015/10/21,2338.71,2369.37,2268.82,2340.36,97671718,101098774528.00
2015/10/22,2306.07,2337.40,2297.05,2331.79,54651781,58117038080.00
2015/10/23,2334.54,2350.12,2319.77,2343.96,48854813,55499001856.00
2015/10/26,2366.84,2381.71,2340.50,2350.02,52798208,65318858752.00
2015/10/27,2343.87,2353.65,2302.09,2349.90,46643220,55912464384.00
2015/10/28,2338.39,2342.45,2308.55,2310.70,40939162,46039203840.00
2015/10/29,2317.48,2323.45,2301.37,2307.35,29257579,33423652864.00
2015/10/30,2307.76,2336.04,2298.97,2312.97,37173556,44039499776.00
2015/11/02,2291.25,2310.83,2279.47,2280.09,33098994,36611440640.00
2015/11/03,2283.80,2294.42,2265.67,2271.65,27317118,29524654080.00
2015/11/04,2277.20,2374.02,2277.20,2370.50,62000309,72905588736.00
2015/11/05,2368.61,2503.65,2365.85,2440.65,148745222,182382018560.00
2015/11/06,2430.65,2501.40,2427.28,2493.48,102199298,127824379904.00
2015/11/09,2501.73,2592.19,2501.73,2534.08,133190838,157351837696.00
2015/11/10,2504.25,2559.83,2498.46,2522.68,90872224,111933014016.00
2015/11/11,2516.35,2517.51,2474.04,2505.83,66089396,81052524544.00
2015/11/12,2513.11,2513.70,2466.29,2476.43,58391260,73592455168.00
2015/11/13,2454.18,2481.18,2444.20,2447.77,55930737,72056905728.00
2015/11/16,2410.04,2447.50,2407.94,2447.29,42344114,52138987520.00
2015/11/17,2462.22,2514.46,2449.74,2453.26,68244705,89093562368.00
2015/11/18,2455.58,2473.45,2433.46,2439.45,59872626,72688328704.00
2015/11/19,2444.88,2469.01,2436.90,2468.49,41949234,48802525184.00
2015/11/20,2469.70,2483.89,2458.78,2466.76,48099426,56175624192.00
2015/11/23,2465.81,2485.42,2451.55,2456.84,44090329,54186057728.00
2015/11/24,2449.97,2452.35,2421.39,2447.90,40952414,47603580928.00
2015/11/25,2441.73,2460.18,2430.35,2459.56,42602899,51769942016.00
2015/11/26,2468.52,2481.39,2450.10,2450.96,44936629,56095625216.00
2015/11/27,2438.18,2439.70,2320.07,2334.44,55953595,65740271616.00
2015/11/30,2325.07,2347.84,2280.68,2336.29,52561629,55296921600.00
2015/12/01,2334.14,2365.15,2314.79,2344.83,41934911,43612909568.00
2015/12/02,2341.43,2463.90,2337.03,2458.41,81676934,86349471744.00
2015/12/03,2441.91,2481.54,2422.56,2461.45,81744001,76165005312.00
2015/12/04,2438.39,2442.25,2392.88,2397.56,47838541,47769841664.00
2015/12/07,2398.09,2404.91,2379.55,2395.58,29174395,31915980800.00
2015/12/08,2381.68,2386.28,2356.93,2364.34,33813694,37192974336.00
2015/12/09,2357.88,2386.28,2356.94,2369.74,28420592,32031217664.00
2015/12/10,2369.59,2402.69,2353.22,2357.21,31997618,36125749248.00
2015/12/11,2346.86,2357.08,2324.63,2342.45,31590449,36142268416.00
2015/12/14,2319.20,2418.56,2316.90,2414.92,47486653,59498180608.00
2015/12/15,2408.15,2410.09,2377.07,2383.83,34608353,44351836160.00
2015/12/16,2389.25,2394.17,2371.43,2376.54,28490923,33463611392.00
2015/12/17,2391.40,2424.90,2386.09,2408.32,44035118,52238794752.00
2015/12/18,2405.86,2466.35,2404.15,2422.83,53967334,61122605056.00
2015/12/21,2415.63,2513.49,2414.84,2500.06,73671087,85785190400.00
2015/12/22,2499.66,2506.87,2477.67,2496.05,51248803,64840179712.00
2015/12/23,2497.37,2550.90,2492.43,2503.06,68188855,90512023552.00
2015/12/24,2498.77,2505.70,2451.45,2481.75,48303842,61250646016.00
2015/12/25,2483.66,2496.84,2474.33,2492.34,29623024,37440811008.00
2015/12/28,2498.78,2502.33,2411.21,2411.41,48200591,56480251904.00
2015/12/29,2408.93,2435.62,2405.17,2432.88,27597306,32289796096.00
2015/12/30,2432.18,2434.52,2399.92,2432.77,28420662,34438639616.00
2015/12/31,2426.81,2437.72,2409.76,2420.80,29972722,34587021312.00
2016/01/04,2417.02,2417.02,2269.97,2270.46,34620851,37753720832.00
2016/01/05,2230.08,2309.59,2223.05,2288.11,48075962,51045134336.00
2016/01/06,2284.92,2321.17,2274.47,2317.65,38088820,39894990848.00
2016/01/07,2281.88,2281.93,2171.32,2180.59,11081575,11474807808.00
2016/01/08,2225.48,2257.41,2154.58,2219.61,51525931,53797580800.00
